problem,path,artist_folder,file_count_in_folder,tag_title,tag_artist,tag_album,tag_album_artist,probable_source_album,probable_track_title,duration_seconds
malformed_album_track,/Users/roncompton/Music/RoseMusicWork/Music/Various Artists/A Musical History/A Musical History [CD 3] - T (21).mp3,Various Artists,,A Musical History [CD 3] - T,Whispering Pines,A Musical History,Whispering Pines,A Musical History,Whispering Pines,239
malformed_album_track,/Users/roncompton/Music/RoseMusicWork/Music/Various Artists/A Musical History/A Musical History [CD 5] - T (15).mp3,Various Artists,,A Musical History [CD 5] - T,Out Of The Blue,A Musical History,Out Of The Blue,A Musical History,Out Of The Blue,202
malformed_album_track,/Users/roncompton/Music/RoseMusicWork/Music/Various Artists/A Musical History/A Musical History [CD 2] - T (2).mp3,Various Artists,,A Musical History [CD 2] - T,The Weight,A Musical History,The Weight,A Musical History,The Weight,278
malformed_album_track,/Users/roncompton/Music/RoseMusicWork/Music/Various Artists/A Musical History/A Musical History [CD 5] - T (2).mp3,Various Artists,,A Musical History [CD 5] - T,The Weight,A Musical History,The Weight,A Musical History,The Weight,276
malformed_album_track,/Users/roncompton/Music/RoseMusicWork/Music/Various Artists/A Musical History/A Musical History [CD 3] - T (17).mp3,Various Artists,,A Musical History [CD 3] - T,The Shape I'm In,A Musical History,The Shape I'm In,A Musical History,The Shape I'm In,243
malformed_album_track,/Users/roncompton/Music/RoseMusicWork/Music/Various Artists/A Musical History/A Musical History [CD 4] - T (16).mp3,Various Artists,,A Musical History [CD 4] - T,Unfaithful Servant,A Musical History,Unfaithful Servant,A Musical History,Unfaithful Servant,281
malformed_album_track,/Users/roncompton/Music/RoseMusicWork/Music/Various Artists/A Musical History/A Musical History [CD 3] - T (3).mp3,Various Artists,,A Musical History [CD 3] - T,Across The Great Divide,A Musical History,Across The Great Divide,A Musical History,Across The Great Divide,173
malformed_album_track,/Users/roncompton/Music/RoseMusicWork/Music/Various Artists/A Musical History/A Musical History [CD 5] - T (19).mp3,Various Artists,,A Musical History [CD 5] - T,Twilight,A Musical History,Twilight,A Musical History,Twilight,205
malformed_album_track,/Users/roncompton/Music/RoseMusicWork/Music/Various Artists/A Musical History/A Musical History [CD 2] - T (18).mp3,Various Artists,,A Musical History [CD 2] - T,Yazoo Street Scandal,A Musical History,Yazoo Street Scandal,A Musical History,Yazoo Street Scandal,236
malformed_album_track,/Users/roncompton/Music/RoseMusicWork/Music/Various Artists/A Musical History/A Musical History [CD 5] - T (18).mp3,Various Artists,,A Musical History [CD 5] - T,The Saga Of Pepote Rouge,A Musical History,The Saga Of Pepote Rouge,A Musical History,The Saga Of Pepote Rouge,255
malformed_album_track,/Users/roncompton/Music/RoseMusicWork/Music/Various Artists/A Musical History/A Musical History [CD 4] - T (2).mp3,Various Artists,,A Musical History [CD 4] - T,Don't Do It,A Musical History,Don't Do It,A Musical History,Don't Do It,277
malformed_album_track,/Users/roncompton/Music/RoseMusicWork/Music/Various Artists/A Musical History/A Musical History [CD 3] - T (16).mp3,Various Artists,,A Musical History [CD 3] - T,The Rumor,A Musical History,The Rumor,A Musical History,The Rumor,256
malformed_album_track,/Users/roncompton/Music/RoseMusicWork/Music/Various Artists/A Musical History/A Musical History [CD 1] - T (18).mp3,Various Artists,,A Musical History [CD 1] - T,Uh Uh Uh,A Musical History,Uh Uh Uh,A Musical History,Uh Uh Uh,142
malformed_album_track,/Users/roncompton/Music/RoseMusicWork/Music/Various Artists/A Musical History/A Musical History [CD 5] - T (3).mp3,Various Artists,,A Musical History [CD 5] - T,Acadian Driftwood,A Musical History,Acadian Driftwood,A Musical History,Acadian Driftwood,402
malformed_album_track,/Users/roncompton/Music/RoseMusicWork/Music/Various Artists/A Musical History/A Musical History [CD 2] - T (15).mp3,Various Artists,,A Musical History [CD 2] - T,Tears Of Rage,A Musical History,Tears Of Rage,A Musical History,Tears Of Rage,321
malformed_album_track,/Users/roncompton/Music/RoseMusicWork/Music/Various Artists/A Musical History/A Musical History [CD 5] - T (14).mp3,Various Artists,,A Musical History [CD 5] - T,Ophelia,A Musical History,Ophelia,A Musical History,Ophelia,213
malformed_album_track,/Users/roncompton/Music/RoseMusicWork/Music/Various Artists/A Musical History/A Musical History [CD 3] - T (20).mp3,Various Artists,,A Musical History [CD 3] - T,When You Awake,A Musical History,When You Awake,A Musical History,When You Awake,195
malformed_album_track,/Users/roncompton/Music/RoseMusicWork/Music/Various Artists/A Musical History/A Musical History [CD 1] - T (14).mp3,Various Artists,,A Musical History [CD 1] - T,Ruben Remus,A Musical History,Ruben Remus,A Musical History,Ruben Remus,195
malformed_album_track,/Users/roncompton/Music/RoseMusicWork/Music/Various Artists/A Musical History/A Musical History [CD 3] - T (11).mp3,Various Artists,,A Musical History [CD 3] - T,Rag Mama Rag,A Musical History,Rag Mama Rag,A Musical History,Rag Mama Rag,186
malformed_album_track,/Users/roncompton/Music/RoseMusicWork/Music/Various Artists/A Musical History/A Musical History [CD 4] - T (10).mp3,Various Artists,,A Musical History [CD 4] - T,Smoke Signal,A Musical History,Smoke Signal,A Musical History,Smoke Signal,309
malformed_album_track,/Users/roncompton/Music/RoseMusicWork/Music/Various Artists/A Musical History/A Musical History [CD 3] - T (5).mp3,Various Artists,,A Musical History [CD 3] - T,Daniel And The Sacred Harp,A Musical History,Daniel And The Sacred Harp,A Musical History,Daniel And The Sacred Harp,264
malformed_album_track,/Users/roncompton/Music/RoseMusicWork/Music/Various Artists/A Musical History/A Musical History [CD 4] - T (5).mp3,Various Artists,,A Musical History [CD 4] - T,Endless Highway,A Musical History,Endless Highway,A Musical History,Endless Highway,308
malformed_album_track,/Users/roncompton/Music/RoseMusicWork/Music/Various Artists/A Musical History/A Musical History [CD 2] - T (8).mp3,Various Artists,,A Musical History [CD 2] - T,In A Station,A Musical History,In A Station,A Musical History,In A Station,213
